bbl,address,include,roomcount,source,notes
3024650002,"426 SOUTH 5 STREET, Brooklyn, NY, 11211",FALSE,60,https://lemayescobar.com/projects/hotel-42-526-south-5th-street/,"in progress, near complete, duplicate of another bbl"
1000927501,"169 WILLIAM STREET, Manhattan, NY, 10038",FALSE,,,appears to be housing for Pace students
1010320061,"578 9 AVENUE, Manhattan, NY, 10036",FALSE,,"https://www.google.com/maps/place/578+9th+Ave,+New+York,+NY+10036/@40.7582701,-73.9922863,3a,75y,239.43h,99.02t/data=!3m6!1e1!3m4!1s5TJxRrB35dDyaBCi55kAHg!2e0!7i16384!8i8192!4m5!3m4!1s0x89c25852e67348a7:0xe9c153ccef13a6d!8m2!3d40.7581946!4d-73.9925412",uninhabited residential? 
1008160054,"20 WEST 15 STREET, Manhattan, NY, 10011",FALSE,30,,hole in the ground
1007590029,"319 WEST 35 STREET, Manhattan, NY, 10001",FALSE,116,https://newyorkyimby.com/2020/09/demolition-prep-underway-at-317-319-west-35th-street-in-the-garment-district.html,"demolition prep underway as of Nov 2020, doesn't appear to be more "
1014350020,"345 EAST 60 STREET, Manhattan, NY, 10022",FALSE,16,,
1014350021,"347 EAST 60 STREET, Manhattan, NY, 10022",FALSE,16,,an extended stay/suite hotel. The amenities are similar to apartment; typically charge weekly rates & less expensive than full-service hotel.
1009970019,"123 WEST 44 STREET, Manhattan, NY, 10036",TRUE,105,https://www.tripadvisor.com/Hotel_Review-g60763-d655944-Reviews-AKA_Times_Square-New_York_City_New_York.html,
1013190034,"234 EAST 46 STREET, Manhattan, NY, 10017",TRUE,95,https://www.hotelplanner.com/Hotels/165168/Reservations-Aka-United-Nations-New-York-234-East-46th-St-10017#HotelName,
1014350022,"349 EAST 60 STREET, Manhattan, NY, 10022",FALSE,16,https://therealdeal.com/new-research/topics/property/349-east-60th-street/,an extended stay/suite hotel. The amenities are similar to apartment; typically charge weekly rates & less expensive than full-service hotel.
1014350023,"1097 1 AVENUE, Manhattan, NY, 10065",FALSE,21,https://therealdeal.com/new-research/topics/property/1097-first-avenue/,Also an extended stay/suite hotel
1014350024,"1099 1 AVENUE, Manhattan, NY, 10065",FALSE,18,https://www.bridgesuites.com/ (room counts are from ZoLa),^ same hotel
1014350025,"1101 1 AVENUE, Manhattan, NY, 10065",FALSE,18,https://www.bridgesuites.com/ (room counts are from ZoLa),^ same hotel
1014350026,"1103 1 AVENUE, Manhattan, NY, 10065",FALSE,18,https://www.bridgesuites.com/ (room counts are from ZoLa),^ same hotel
3023230009,"292 NORTH 8TH STREET, Brooklyn, NY, 11211",FALSE,,https://newyorkyimby.com/2019/12/student-housing-project-from-the-collective-will-debut-in-williamsburg-brooklyn-by-2022.html,a really cool student housing project. 
3024650003,"428 SOUTH 5 STREET, Brooklyn, NY, 11211",TRUE,60,https://lemayescobar.com/projects/hotel-42-526-south-5th-street/,boutique hotel. Not open yet
3024650005,"432 SOUTH 5 STREET, Brooklyn, NY, 11211",FALSE,,https://lemayescobar.com/projects/hotel-42-526-south-5th-street/,^ same hotel
3012140076,"1173 BERGEN STREET, Brooklyn, NY, 11213",FALSE,,https://bklyner.com/homeless-shelter-proposed-1173-bergen-street/,homeless shelter
3023710048,"45 AINSLIE STREET, Brooklyn, NY, 11211",FALSE,,https://www.redfin.com/NY/Brooklyn/45-Ainslie-St-11211/home/40918907,does not look like it is currently a hotel. zola listed it as a hostel
3024570034,"159 BROADWAY, Brooklyn, NY, 11211",FALSE,,Hole in ground as of 11/20 (https://goo.gl/maps/zJQpuZQoSMWc9h2y5); owner recently filed bankruptcy (https://therealdeal.com/2020/12/23/two-brooklyn-hotel-projects-file-for-bankruptcy-in-one-week/),
3024650004,"430 SOUTH 5 STREET, Brooklyn, NY, 11211",FALSE,60,"Room count via interior design firm (https://lemayescobar.com/projects/hotel-42-526-south-5th-street/). Not open yet, but seems very close","Not open yet, but seems very close"
4006150030,"30-13 31 STREET, Queens, NY, 11102",FALSE,,,"At most, under construction: https://goo.gl/maps/9eiwsLNJCMAkxD2n8. No google trace of a hotel operating there. Earlier plans from 2015 had a non-hotel mixed-use project there: https://newyorkyimby.com/2015/10/seven-story-17-unit-mixed-use-building-coming-to-30-13-31st-street-astoria.html"
3051360008,"2518 TILDEN AVENUE, Brooklyn, NY, 11226",FALSE,117,Room count via https://therealdeal.com/new-research/topics/property/2518-tilden-avenue/,"Based on Google maps, associated with 2520 Tilden Ave., which has long been a homeless shelter: https://qns.com/2008/03/tilden-hall-probe-shelter-under-investigation/"
