undefinedid,name,crossStreets,phone,address,city,state,zip,location,sub_location,brand,lat,lng
49657,1 Brooklyn Bridge,Near Pier 1,(877) 803-1111,60 Furman Street,Brooklyn,NY,11201,Brooklyn,Brooklyn,,40.70229,-73.99558
64409,1 Hotel Central Park,,(305) 604-1000,1414 Avenue of the Americas,New York,NY,10019,,,,40.76476,-73.97654
28610,11 Howard,Lafayette St btwn Canal and Howard,(212) 235-1111,11 Howard Street,New York,NY,10013,Manhattan,Between Canal and 14th,InterContinental,40.71916,-74.00026
64414,50 Bowery,,(212) 508-8000,50 Bowery,New York,NY,10013,,,,40.71605,-73.9971
28529,50 NYC,East 50th St btwn Lexington and Third Ave,(212) 751-5710,155 East 50th Street,New York,NY,10022,Manhattan,Midtown East - Between 34th and 59th on East Side,Denihan,40.75609,-73.97108
28506,6 Columbus,Columbus Circle at Eighth Ave,(212) 204-3000,6 Columbus Circle,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Thompson,40.76757,-73.98318
28620,Ace,,(212) 679-2222,20 West 29th Street,New York,NY,10001,Manhattan,Between 14th and 34th,,40.74574,-73.98826
28471,Affinia Gardens,East 64th St btwn Second and Third Avenue,(212) 355-1230,215 East 64th Street,New York,NY,10065,Manhattan,Upper East Side - Above 59th on East Side,Denihan,40.76442,-73.96303
28575,Affinia Shelburne,Lexington Avenue btwn East 37th and 38th St,(212) 689-5200,303 Lexington Avenue,New York,NY,10016,Manhattan,Midtown East - Between 34th and 59th on East Side,Denihan,40.74844,-73.97804
64384,AKA Tribeca,On West Broadway between Chambers St./Warren St.,(212) 587-7000,85 West Broadway,New York,NY,10007,,,,40.71522,-74.00913
28633,Algonquin,West 44th St btwn Fifth and Sixth Ave,(212) 840-6800,59 West 44th Street,New York,NY,10036,Manhattan,Upper East Side - Above 59th on East Side,Marriott,40.75601,-73.98228
28635,Aloft Harlem,,(212) 749-4000,2296 Frederick Douglass Boulevard,New York,NY,10027,Manhattan,Upper West Side - Above 59th on West Side,Starwood,40.80913,-73.95146
28567,Americana Inn,West 38th St btwn Fifth and Sixth Ave,(212) 840-2019,69 West 38th Street,New York,NY,10018,Manhattan,Midtown West - Between 34th and 59th on West Side,Empire,40.75229,-73.98555
28540,Andaz 5th Avenue,,(212) 601-1234,485 5th Avenue,New York,NY,10017,Manhattan,Midtown East - Between 34th and 59th on East Side,Hyatt,40.75283,-73.98095
28618,Andaz Wall Street,,(212) 590-1234,75 Wall Street,New York,NY,10005,Manhattan,Below Canal,Hyatt,40.70517,-74.00802
28462,Arthouse,Broadway btwn West 77th and 78th St,(212) 362-1100,2178 Broadway,New York,NY,10024,Manhattan,Upper West Side - Above 59th on West Side,,40.78222,-73.98059
28589,Avalon,East 32nd St btwn Fifth and Madison Ave,(212) 299-7000,16 East 32nd Street,New York,NY,10016,Manhattan,Between 14th and 34th,,40.74657,-73.98461
49653,Baccarat,,(212) 790-8800,28 West 53rd Street,New York,NY,10019,Manhattan,Midtown West - Between 34th and 59th on West Side,Starwood,40.7609,-73.97738
